,N29131C
N06691U,0.09439223501231857
N06731X,0.07256122888568789
N06731Y,0.1033427104422848
N26151X,0.08684176024438872
N29121G,0.0796976535575143
N29131B,0.10712264905809545
N29131C,0.0
N29141A,0.08178640623293908
N29142H,0.10581356343061567
N29131F,0.026191045144147707
