,N06691U
N06691U,0.0
N06731X,0.02228203124508034
N06731Y,0.12383676935820727
N26151X,0.036474768281479115
N29121G,0.03159200366159289
N29131B,0.05205433750840516
N29131C,0.036100295048804264
N29141A,0.0313846099002494
N29142H,0.08930064492033328
N29131F,0.0
