,N06411H
N06351L,0.011961569021780027
N06411H,0.0
N06421A,0.008637506629186949
N06421D,0.022461560710106264
N06421E,0.031446366010649145
N06421F,0.06537520398698772
N06421G,0.03623466429354417
N06431Y,0.07199061339541338
N31111S,0.026276738050437707
N31111U,0.0
N31111W,0.028460371146941325
