,N29131B
N06691U,0.02439138095369303
N06731X,0.0
N06731Y,0.05057156284724051
N26151X,0.03235019949051154
N29121G,0.042673155259119404
N29131B,0.0
N29131C,0.014700138217646559
N29141A,0.020099088702284475
N29142H,0.07130392054380386
N29131F,0.0
