N06351L
480.0
478.0
456.0
452.0
432.0
422.0
393.0
388.0
363.0
333.0
314.0
304.0
296.0
281.0
277.0
274.0
267.0
256.0
260.0
245.0
249.0
251.0
240.0
232.0
232.0
231.0
228.0
221.0
217.0
214.0
205.0
201.0
190.0
190.0
196.5
200.5
198.5
199.5
196.5
194.5
191.0
187.5
188.5
185.5
184.5
183.5
179.0
177.0
172.0
172.0
174.0
171.0
172.5
174.0
175.0
188.0
191.0
182.0
181.0
171.0
162.0
160.0
155.0
147.0
144.0
140.0
139.0
130.0
136.0
136.0
137.0
144.0
150.0
151.0
157.0
167.0
170.0
174.0
173.0
174.0
172.0
176.0
177.5
180.5
186.5
182.5
186.5
190.5
197.5
209.5
217.5
219.5
224.5
227.5
232.0
235.0
242.0
254.0
260.0
260.0
260.0
264.0
269.0
280.0
292.0
317.0
331.0
343.0
359.0
362.0
363.0
379.0
388.0
395.0
411.0
414.0
408.0
403.0
403.0
406.0
406.0
423.0
423.0
440.0
461.0
464.0
461.0
472.0
490.0
497.0
506.0
517.0
526.0
534.0
564.0
557.0
561.0
569.0
575.0
591.0
602.0
601.0
613.0
625.0
630.0
635.0
645.0
654.0
655.0
670.0
680.0
684.0
682.0
706.0
711.0
701.0
720.0
720.0
719.0
738.0
732.0
736.0
754.0
757.0
773.0
786.0
799.0
846.0
872.0
896.0
923.0
933.0
964.0
988.0
985.0
979.0
975.0
953.0
930.0
889.0
848.0
814.0
783.0
752.0
737.0
695.0
669.0
670.0
652.0
661.0
666.0
674.0
667.0
675.0
657.0
661.0
644.0
655.0
660.0
651.0
656.0
644.0
634.0
615.0
623.0
619.0
630.0
633.0
645.0
644.0
648.0
650.0
650.0
653.0
654.0
655.0
648.0
649.0
632.0
620.0
614.0
603.0
606.0
624.0
638.0
632.0
633.0
648.0
645.0
655.0
668.0
669.0
683.0
691.0
691.0
668.0
653.0
655.0
669.0
653.0
667.0
656.0
666.0
673.0
661.0
654.0
649.0
653.0
656.0
637.0
615.0
618.0
585.0
573.0
556.0
545.0
531.0
514.0
506.0
496.0
476.0
483.0
490.0
491.0
491.0
481.0
482.0
493.0
494.0
518.0
516.0
522.0
530.0
527.0
527.0
519.0
530.0
538.0
529.0
512.0
519.0
494.0
490.0
489.0
487.0
487.0
487.0
481.0
482.0
476.0
474.0
485.0
471.0
474.0
475.0
453.0
450.0
436.0
424.0
414.0
395.0
389.0
382.0
358.0
350.0
342.0
330.0
333.0
324.0
321.0
307.0
306.0
301.0
296.0
286.0
278.0
277.0
269.0
270.0
265.0
265.0
270.0
267.0
260.0
256.5
251.5
249.0
251.0
246.5
248.0
241.0
238.0
225.0
222.0
217.0
223.0
218.5
219.5
221.0
221.0
212.5
206.0
200.0
196.0
192.0
178.0
177.0
164.0
165.0
162.0
154.0
149.0
143.0
136.0
134.0
126.0
126.0
125.0
123.0
125.0
124.0
127.0
128.0
130.0
130.0
136.0
138.0
147.0
153.0
160.0
166.5
165.5
168.5
162.5
162.5
158.5
164.5
164.5
168.5
163.5
158.5
160.5
159.0
165.0
168.0
173.0
181.0
191.0
194.0
194.0
195.0
200.0
205.0
202.0
212.0
213.0
223.0
233.0
236.0
235.0
241.0
251.0
254.0
276.0
291.0
295.0
310.0
335.0
346.0
363.0
379.0
403.0
419.0
442.0
469.0
476.0
491.0
525.0
533.0
546.0
558.0
585.0
598.0
606.0
615.0
628.0
622.0
640.0
644.0
650.0
