,cd
M_0852_0191,0.032208424880571754
M_0191_0852,0.01424994147474821
M_0191_0038,0.01182180603780574
M_0038_0191,0.032567692790441354
M_0037_0779_0039_U,0.0
M_0037_0038,0.051366633667519646
M_0821_0190,0.014656720241613188
M_0038_0037,0.0435829986291157
M_0821_0159,0.03847784791008743
M_0308_0011,0.018215594098407874
M_0011_0308,0.014900610452225696
M_0015_0159,0.021651530161950372
M_0039_0038,0.010927700902050917
M_0323_0032,0.009578879643022384
M_0032_0323,0.0273319025522692
M_0108_0478_0479,0.014190841213569736
