,N06481N
N06421B,0.012884113458504591
N06431X,0.016139195158490806
N06431Z,0.0
N06451L,0.016982416660881513
N06451P,0.013088787384776325
N06451S,0.0
N06461T,0.017397358579503926
N06481L,0.01755877510441616
N06481P,0.01668176984230577
N06481S,0.018602652414632232
N06511A,0.014303439406210447
N06511B,0.01896782793892919
N06521E,0.0
N06521G,0.014037254873194275
N06611G,0.013747818952563773
N06611J,0.0076838846338542184
N06621D,0.0
N06731Z,0.0
N06461E,0.0
N06611F,0.017091841086811582
N06481N,0.0
N06482F,0.022337500969070175
N06482K,0.0
N06482J,0.01461254655715108
N06551T,0.013064752821796146
N06451R,0.02442734888926569
