,N06611J
N06421B,0.028837604669050266
N06431X,0.022943852418648075
N06431Z,0.01368234355107498
N06451L,0.038311709682024915
N06451P,0.040957104531477925
N06451S,0.025275842390216716
N06461T,0.024685417134481028
N06481L,0.05220463374619206
N06481P,0.0306175380883762
N06481S,0.01800032959611651
N06511A,0.04986797023020269
N06511B,0.01669819359391558
N06521E,0.03007095852951476
N06521G,0.009884773077011985
N06611G,0.037687409362827495
N06611J,0.0
N06621D,0.04460369546665521
N06731Z,0.0072832549298804785
N06461E,0.029868022075975446
N06611F,0.011619131782776916
N06481N,0.00446379955584217
N06482F,0.028093295306251976
N06482K,0.0
N06482J,0.04107409305652914
N06551T,0.029908602945744676
N06451R,0.0167397032449337
