,N06461T
N06421B,0.0436145199510934
N06431X,0.01766294923195173
N06431Z,0.0
N06451L,0.0227902878753058
N06451P,0.012287455040928439
N06451S,0.026260066720409442
N06461T,0.0
N06481L,0.02674081788413257
N06481P,0.019593480042356847
N06481S,0.01740405791340864
N06511A,0.023100069949750043
N06511B,0.016195374145530402
N06521E,0.031190806198243198
N06521G,0.02521056992541646
N06611G,0.013741451199075666
N06611J,0.021863299247248696
N06621D,0.02609735280095128
N06731Z,0.0
N06461E,0.045243400975875925
N06611F,0.0
N06481N,0.0
N06482F,0.09164016013402007
N06482K,0.0
N06482J,0.02884979173559036
N06551T,0.08478919943879588
N06451R,0.02466798082512157
