,N06482F
N06421B,0.04610958739110257
N06431X,0.015300698079582406
N06431Z,0.0
N06451L,0.0236217579698641
N06451P,0.037434817209745855
N06451S,0.009150676755307015
N06461T,0.06272338276829707
N06481L,0.023646067230782945
N06481P,0.015538945640518378
N06481S,0.01283457052129706
N06511A,0.026171265526064292
N06511B,0.016517348827167884
N06521E,0.03020828516794246
N06521G,0.012234549315409517
N06611G,0.03898458681195564
N06611J,0.03376692051551354
N06621D,0.029591779563882068
N06731Z,0.0
N06461E,0.08923174283992147
N06611F,0.011132801765532467
N06481N,0.0
N06482F,0.0
N06482K,0.0
N06482J,0.03820526490851625
N06551T,0.04985482174908298
N06451R,0.022971198732059054
