,N06421B
N06421B,0.0
N06431X,0.007597047752540487
N06431Z,0.013335412424411632
N06451L,0.018602124316114292
N06451P,0.019914397901202547
N06451S,0.016945645077959145
N06461T,0.03411068992292704
N06481L,0.040130387047910894
N06481P,0.0457501495068898
N06481S,0.028400067510391418
N06511A,0.01737878635901453
N06511B,0.04306556461422611
N06521E,0.01453721338586335
N06521G,0.017971357192108756
N06611G,0.021386500072735293
N06611J,0.01626750998535532
N06621D,0.01777321283811686
N06731Z,0.005817063965088248
N06461E,0.023839672742546725
N06611F,0.0
N06481N,0.017148788851376055
N06482F,0.036656272223929504
N06482K,0.0
N06482J,0.0157203091455338
N06551T,0.037283771353995535
N06451R,0.03406370110281535
