,N06611G
N06421B,0.02984210417835485
N06431X,0.03446070930466609
N06431Z,0.008893733528579747
N06451L,0.01921153152900654
N06451P,0.05836810950823982
N06451S,0.03635056204243325
N06461T,0.03026177164601609
N06481L,0.046096649002790785
N06481P,0.017485741467296454
N06481S,0.01651219050158106
N06511A,0.024927336934779436
N06511B,0.033721878532358
N06521E,0.03152438391184686
N06521G,0.010641794206887446
N06611G,0.0
N06611J,0.019471412282641768
N06621D,0.02030821174051873
N06731Z,0.009085316219601625
N06461E,0.06230455053386907
N06611F,0.0
N06481N,0.009909558018737663
N06482F,0.049070627879283256
N06482K,0.0
N06482J,0.0687183912278127
N06551T,0.061325665770094524
N06451R,0.059579309369003186
