,N06451P
N06421B,0.024468680239877107
N06431X,0.028962077754833882
N06431Z,0.00782359931899935
N06451L,0.0357503198046227
N06451P,0.0
N06451S,0.040522195138690216
N06461T,0.0571302100526465
N06481L,0.05777888636154005
N06481P,0.015637409497048078
N06481S,0.018811825563962686
N06511A,0.01600532381779967
N06511B,0.03330166266182147
N06521E,0.028518962134205315
N06521G,0.008805283553849082
N06611G,0.03223879867948631
N06611J,0.0287433542506162
N06621D,0.020605361503285766
N06731Z,0.0
N06461E,0.05275821882115371
N06611F,0.0
N06481N,0.0
N06482F,0.04738491360127951
N06482K,0.0
N06482J,0.06391731175579327
N06551T,0.06394771734730859
N06451R,0.06230004838581776
