,N06461E
N06421B,0.024449970945608048
N06431X,0.01760718246131778
N06431Z,0.012516796483860355
N06451L,0.028625504993536107
N06451P,0.03833168799523508
N06451S,0.027022870747080555
N06461T,0.025689045063488368
N06481L,0.031786294531727564
N06481P,0.03681639967358921
N06481S,0.02126778782951346
N06511A,0.049442312577625026
N06511B,0.04133645846992886
N06521E,0.031641171639598925
N06521G,0.015538459483882836
N06611G,0.04724826802790497
N06611J,0.03340970971111981
N06621D,0.022708989032827302
N06731Z,0.008097710312041997
N06461E,0.0
N06611F,0.014360131457870472
N06481N,0.012320750098975174
N06482F,0.021665505745869184
N06482K,0.0
N06482J,0.07144371562224994
N06551T,0.04539113446356326
N06451R,0.06476790136743958
