,N06481L
N06421B,0.040981859509219634
N06431X,0.03438590799844158
N06431Z,0.013385105708588247
N06451L,0.02362302394011533
N06451P,0.04166089764852335
N06451S,0.022849285995642763
N06461T,0.024859801406187952
N06481L,0.0
N06481P,0.0263374991284385
N06481S,0.013724439359919873
N06511A,0.04450947547498006
N06511B,0.032158018456033485
N06521E,0.03242756505731885
N06521G,0.029793903633584386
N06611G,0.059213696807952125
N06611J,0.01984771233012554
N06621D,0.03382369109402276
N06731Z,0.0
N06461E,0.04521554675166175
N06611F,0.009443848490365619
N06481N,0.009895079248248286
N06482F,0.020311195039974982
N06482K,0.0
N06482J,0.042212377963566576
N06551T,0.05422574682139337
N06451R,0.03464038580908625
