,N06481S
N06421B,0.03710365711245347
N06431X,0.02329827388589637
N06431Z,0.004236941820236685
N06451L,0.018297989150475345
N06451P,0.024178966914663817
N06451S,0.008038772003548666
N06461T,0.023994653961324004
N06481L,0.029712527952667094
N06481P,0.024780081721413667
N06481S,0.0
N06511A,0.010953955412634603
N06511B,0.018006494943215327
N06521E,0.01002023401156496
N06521G,0.012982739177727616
N06611G,0.02240508608949857
N06611J,0.02657260887766507
N06621D,0.016810869362500404
N06731Z,0.0
N06461E,0.02252929177445656
N06611F,0.0
N06481N,0.018956130707784957
N06482F,0.020718853954205897
N06482K,0.0
N06482J,0.0253754734107157
N06551T,0.018796274820898698
N06451R,0.028038424062847626
