,N06481P
N06421B,0.023401422656381725
N06431X,0.021231176894849636
N06431Z,0.014666345281990976
N06451L,0.01795857887838209
N06451P,0.035521887316746346
N06451S,0.01634247635525897
N06461T,0.015271583097552898
N06481L,0.02596269158476561
N06481P,0.0
N06481S,0.020977703195013478
N06511A,0.014580710634949406
N06511B,0.018012579888415762
N06521E,0.013235981847307217
N06521G,0.027774166407460697
N06611G,0.02837413422887802
N06611J,0.016673486855287252
N06621D,0.012279438912067649
N06731Z,0.0
N06461E,0.021747521762315244
N06611F,0.008924847052655142
N06481N,0.0113368630512555
N06482F,0.014196103099853918
N06482K,0.0
N06482J,0.040257606356003
N06551T,0.02186092522424583
N06451R,0.03021278052109669
