,N06451S
N06421B,0.03194569699789405
N06431X,0.020624885826634715
N06431Z,0.011865856645523564
N06451L,0.07968871091526103
N06451P,0.027942562290970897
N06451S,0.0
N06461T,0.04294432300706281
N06481L,0.0545601931051782
N06481P,0.017981964229658573
N06481S,0.01627186514880212
N06511A,0.033530711203672375
N06511B,0.017767631361955753
N06521E,0.06312673655309263
N06521G,0.02522470877555327
N06611G,0.04258513231486857
N06611J,0.03647431358791828
N06621D,0.060732790097846906
N06731Z,0.0
N06461E,0.047940920624057845
N06611F,0.021877854354809795
N06481N,0.009312116192665441
N06482F,0.036383268177133145
N06482K,0.0
N06482J,0.03752277902256101
N06551T,0.04474189245787083
N06451R,0.020894078585171085
