,N06482J
N06421B,0.025767417218597072
N06431X,0.02787317472045138
N06431Z,0.014745547445718429
N06451L,0.03852594458842631
N06451P,0.04181558122913814
N06451S,0.02799203183078629
N06461T,0.020732856749615374
N06481L,0.053137488595892894
N06481P,0.029764503158523803
N06481S,0.011379119227575282
N06511A,0.05150037327234001
N06511B,0.05160780253620527
N06521E,0.061933445938405725
N06521G,0.010856166827313381
N06611G,0.045089268101931715
N06611J,0.01919165684115289
N06621D,0.01337407967203493
N06731Z,0.0
N06461E,0.030063038726449682
N06611F,0.0
N06481N,0.009188361460156568
N06482F,0.03480804725566718
N06482K,0.0
N06482J,0.0
N06551T,0.054176493547647
N06451R,0.03965266178349936
