,N06521G
N06421B,0.019891280956999536
N06431X,0.022417644011356413
N06431Z,0.010862435970334584
N06451L,0.033455688590161375
N06451P,0.021844252180309845
N06451S,0.02353180305331149
N06461T,0.01728837869307255
N06481L,0.035288143263606624
N06481P,0.037708729843559
N06481S,0.02847853821832131
N06511A,0.01906197204206988
N06511B,0.028559105793728622
N06521E,0.021022562236471375
N06521G,0.0
N06611G,0.02477020780221209
N06611J,0.025983672955881578
N06621D,0.03493943006950389
N06731Z,0.0
N06461E,0.020195549576640867
N06611F,0.009148236902306067
N06481N,0.01349442484378897
N06482F,0.016115414816096126
N06482K,0.0
N06482J,0.02714683187960608
N06551T,0.017079706796492563
N06451R,0.015036050095557488
