,N06451L
N06421B,0.0
N06431X,0.016948405608654012
N06431Z,0.015835429934828664
N06451L,0.0
N06451P,0.02097800834938301
N06451S,0.012108937971028548
N06461T,0.01851692648217528
N06481L,0.026720580348027094
N06481P,0.01146241581657304
N06481S,0.014070913961527641
N06511A,0.03927552507887953
N06511B,0.014373439572156121
N06521E,0.05366160892378919
N06521G,0.015197996735761462
N06611G,0.04039308759346325
N06611J,0.010295632307771748
N06621D,0.024257180389346114
N06731Z,0.0
N06461E,0.02916138841869536
N06611F,0.01932996732304155
N06481N,0.0
N06482F,0.02887470958345712
N06482K,0.0
N06482J,0.02733413906262941
N06551T,0.03546866643023641
N06451R,0.015407043766750885
