,N06521E
N06421B,0.023262776542064198
N06431X,0.030075566482437834
N06431Z,0.013605167689720353
N06451L,0.03749192924869123
N06451P,0.043139577951814126
N06451S,0.033268313320565616
N06461T,0.04121694170221096
N06481L,0.037395806942893704
N06481P,0.019142075271771485
N06481S,0.010766302715972002
N06511A,0.011034092879077013
N06511B,0.017298432390341137
N06521E,0.0
N06521G,0.011937788631015401
N06611G,0.02624793107242347
N06611J,0.01958184260590918
N06621D,0.041203660662200534
N06731Z,0.0
N06461E,0.04304098996318756
N06611F,0.015073235047994911
N06481N,0.011030490540490528
N06482F,0.02394842671448502
N06482K,0.0
N06482J,0.038281054569964196
N06551T,0.028689359098655214
N06451R,0.0143025074716642
