,N06511B
N06421B,0.04323838019235362
N06431X,0.03933607392149936
N06431Z,0.009414498905289144
N06451L,0.025003351245933364
N06451P,0.023915225503062982
N06451S,0.039482263743393385
N06461T,0.06282183972805752
N06481L,0.0837794359724818
N06481P,0.04852631644329883
N06481S,0.023843182562258997
N06511A,0.04479484454478171
N06511B,0.0
N06521E,0.02040431036103937
N06521G,0.03327062098373472
N06611G,0.03500425101647812
N06611J,0.02975906076792605
N06621D,0.03093191405378748
N06731Z,0.0
N06461E,0.027303710918992592
N06611F,0.0
N06481N,0.00988032959549237
N06482F,0.05109737914534467
N06482K,0.0
N06482J,0.020816083188378888
N06551T,0.030076544750174506
N06451R,0.036397205252286076
