,N31111S
N06351L,0.025997974424107746
N06411H,0.02705594135883656
N06421A,0.0
N06421D,0.015321545562140318
N06421E,0.04169581501362166
N06421F,0.01746052717135606
N06421G,0.021241646198150794
N06431Y,0.017623736455930815
N31111S,0.0
N31111U,0.0
N31111W,0.05290919766228927
