,N06431Y
N06351L,0.029970435476899385
N06411H,0.039373199829078394
N06421A,0.0
N06421D,0.04957887479420055
N06421E,0.011731295462361352
N06421F,0.04122235314358044
N06421G,0.031781704616519905
N06431Y,0.0
N31111S,0.010251674954278645
N31111U,0.0
N31111W,0.02186279410395933
